"AoA_test_min","LgSUBTLWF","Length","Conc.M","SemD","V.Mean.Sum","A.Mean.Sum","Interoceptive.mean","Head.mean","Mouth.mean"
2,3.356,6,1.83,1.99,6.56,4.33,0.470588235,3.15,0.9
14,1.491,7,1.83,1.9,4.53,4.5,1.909090909,2.5,1.357142857
2,1.935,6,3.34,1.5,5.57,4.13,1.705882353,2.277777778,1.055555556
8,1.398,14,1.93,1.75,5.21,3.5,0.1875,2.4,2.25
2,4.101,6,2.7,1.65,2.25,5.12,4.357142857,3.85,2.15
12,1.732,9,1.97,1.94,4.29,5.38,0.842105263,2.5,1.227272727
2,3.669,9,3.7,1.78,6.68,3.48,1.7,2.842105263,1.315789474
2,3.606,3,2.86,1.93,5.78,3.71,2.25,3.428571429,2.238095238
6,2.997,6,3.87,1.81,5.14,3.17,0.789473684,1.722222222,1.055555556
10,2.573,6,2.66,1.8,5.05,3.62,1,2.421052632,1.684210526
6,3.719,5,3.61,1.87,5.23,3.43,0.352941176,1.947368421,1.263157895
10,1.58,9,2.26,1.73,2.55,5.9,2.588235294,2.842105263,2.631578947
10,1.778,11,1.53,1.56,2.48,5.35,3.388888889,2.631578947,1.368421053
10,2.158,10,2.68,1.59,3.18,5.69,2.55,2.35,2.45
6,2.608,10,2.54,1.84,3.08,5.87,3.277777778,3,2.666666667
10,1.477,9,3.29,1.48,2.8,6.55,0.9375,2.85,2.45
12,1.322,5,2.31,1.77,5.95,4.95,1.266666667,1.75,0.3
10,1.38,7,2.38,1.56,6.55,4.21,2.315789474,2.611111111,1.111111111
6,2.121,5,2.88,1.74,3,3.8,2.85,3.523809524,2.047619048
10,1.415,9,2.33,1.54,2.84,4.75,4.210526316,3.2,2.85
8,2.283,5,2.38,1.6,2.46,5.78,3.578947368,3.111111111,1.666666667
2,3.518,5,2.31,1.93,7.17,3.62,1.509803922,3.283018868,3.547169811
6,1.914,9,2.07,1.76,6.9,3.55,2,2.789473684,2.526315789
2,2.951,9,2.22,1.84,6.75,4.05,1.368421053,2.105263158,2.421052632
4,1.69,12,3.29,1.46,5.5,3.55,0.277777778,2.526315789,1.315789474
4,1.756,11,3.67,1.44,6.1,3.05,0.210526316,1.85,0.85
2,2.851,3,3.1,1.83,6.29,4.55,0.352941176,2.421052632,1.894736842
10,2.017,4,3.59,1.56,5.6,4,0.631578947,2.263157895,1.736842105
6,1.431,7,2.93,1.62,3,3.68,3.416666667,2.444444444,2.333333333
2,2.88,3,3.27,2.1,5.95,4,0.368421053,3.3,0.65
2,3.851,3,4.11,1.91,6.71,3.25,1.368421053,3.95,3.85
6,2.334,8,3.45,1.38,5.25,3.52,1.277777778,1.55,0.55
4,2.684,8,4.4,1.17,6.3,4.86,0.388888889,2.75,0.65
2,2.075,8,4.7,0.91,5.74,4.38,0.2,2.05,0.35
2,2.521,7,4,1.28,5.36,4.12,0.588235294,2.7,1
2,2.747,8,4.96,1.33,5.25,5.62,0.611111111,3.2,0.95
2,3.288,7,4.87,1.49,6,5.5,0.5,2.857142857,0.857142857
13,1.491,7,4.92,1.21,5.63,4.88,0,2.421052632,0.315789474
6,1.763,8,4.68,1.14,4.76,3.83,0.35,2.681818182,0.727272727
6,1.763,8,3.42,1.34,5.1,3.3,0.625,1.7,1.15
2,1.924,6,4.34,1.14,4.95,4,1.6,2.428571429,3.476190476
6,2.58,5,4.35,1.39,5.17,2.5,0.222222222,1.954545455,0.681818182
6,1.38,4,3.27,1.3,5,3.26,0.133333333,2.0625,0.25
13,1.544,9,3.81,1.31,5.5,3.95,0.818181818,1.5,0.125
2,3.183,5,4.47,1.86,3.86,6.85,2.05,4.421052632,1.947368421
6,1.771,8,2.07,2.05,3.52,6.5,2.6875,3.1,2.15
12,1.613,9,4.81,1.52,5.68,3.09,0.538461538,2.111111111,0.555555556
10,1.778,6,4.41,1.29,4.9,3.09,0.105263158,1.95,0.9
2,2.719,5,4.69,0.81,6.19,5.63,0.666666667,3.947368421,0.842105263
4,2.927,7,4.76,1.38,4.11,5.17,1.888888889,3,4
2,2.501,9,3.37,1.29,2.49,5.48,1,2.842105263,2.894736842
4,1.643,10,2.93,1.2,2,5,2.578947368,3.4,3.75
12,1.398,6,4.08,1.28,5.5,3.32,0.333333333,2.625,0.1875
6,2.308,3,4.65,1.19,5.95,4.1,1.4375,2.176470588,3.588235294
4,3.022,5,2.59,1.99,5.38,5.14,2.631578947,3.380952381,2.095238095
6,1.959,7,3.14,1.04,5.4,4.6,0.315789474,3.5,0.4
13,1.447,9,3.07,0.83,5.3,3.7,0.277777778,2.473684211,0.684210526
10,2.32,5,2.86,1.83,5,4.71,0.684210526,2.571428571,1.619047619
6,2.63,5,2.57,1.23,4.16,4.5,0.733333333,2.352941176,2.823529412
10,2.949,5,3.52,1.79,4.45,4.86,0.684210526,2.052631579,0.526315789
14,1.477,8,1.83,1.81,2.79,4.27,2.6875,2.529411765,1.411764706
14,1.362,10,1.73,1.59,2.53,5.14,1.666666667,2.105263158,1.789473684
12,1.342,6,2.96,1.76,5.67,3.86,0.538461538,1.352941176,0.352941176
13,1.544,5,2.79,1.74,5.95,3.32,0.578947368,1.75,0.45
10,1.833,9,3.26,1.55,6,3.92,0.444444444,2.736842105,0.894736842
2,3.897,5,3.14,1.85,6.57,5.93,3.619047619,4.35,3.3
12,1.447,10,1.79,1.59,3.26,5.9,0,1.9,2.1
6,2.204,10,1.77,1.66,5.8,5.17,1.25,3.105263158,1.789473684
6,2.617,8,2.55,1.26,3,5.4,2.882352941,2.888888889,2.833333333
6,1.94,7,3.68,1.11,2.9,3.9,4.277777778,2.954545455,2.636363636
12,1.38,9,2.48,1.96,6.25,3.45,2.571428571,2.235294118,1.588235294
2,2.92,5,4.82,1.51,4.17,4.08,0.2,2.052631579,0.842105263
8,1.613,8,4.3,1.13,3.46,3.7,0.157894737,2.65,0.4
8,2.668,8,2.5,1.65,6.14,4.4,1.2,1.789473684,1.210526316
10,2.17,6,2.38,1.67,5.95,3.38,1.923076923,2.277777778,1
2,2.253,9,4.96,1.72,4.23,5.36,0.5,2.315789474,1
2,3.355,5,2.41,2.24,6.39,2.95,2.176470588,2,1.666666667
2,2.425,9,3.07,1.57,6.74,4.05,0.75,2.19047619,1.238095238
10,1.724,5,4.29,1.03,5.2,3.32,0.294117647,1.794871795,0.076923077
13,1.491,6,1.92,1.56,6.9,4.25,2.333333333,2.842105263,1.526315789
10,1.342,8,2.07,1.74,6.74,4.35,3.25,3.555555556,1.888888889
12,3.222,4,2.61,1.7,6.05,4.8,0.923076923,3,2.5
4,1.756,6,4.71,1.5,6.05,2.89,0.333333333,2.19047619,3.714285714
2,4.197,5,2.86,2.08,3.85,4,3.315789474,2.8,0.35
10,1.532,5,1.46,1.82,4.59,3.09,1.625,1.75,0.7
10,2.618,5,1.81,1.04,5.5,3.67,1.3,1.842105263,0.631578947
2,2.107,8,4.31,1.48,5.95,3.15,0.470588235,2.619047619,2.476190476
2,1.653,12,3.07,1.15,6.32,3,0,2.15,1.65
4,2.415,5,4.85,1.25,5.59,4.05,0.166666667,2.4375,0.75
8,2.389,5,3.07,2.14,4.57,4.17,1,3,1.578947368
8,1.568,10,3.21,1.9,5.05,4.05,0.648648649,2.421052632,1
14,1.58,11,3.21,1.58,3.61,5.62,1.866666667,2.789473684,2.789473684
6,2.258,9,2.43,1.84,5.15,3.48,0.55,1.904761905,0.952380952
12,2.679,11,2.46,2.17,5.33,3.61,0.5,1.952380952,0.80952381
6,2.299,8,2.96,1.23,5.27,4.15,3.5,2.944444444,1.333333333
6,2.525,7,2.31,1.67,4.58,3.55,0.789473684,2.736842105,1.578947368
2,1.919,5,2,1.88,7.24,5,2.625,3.473684211,2.263157895
2,1.568,9,1.89,1.68,7.29,6.3,4.25,4.045454545,2.545454545
2,3.62,7,1.55,1.9,7.72,6.05,3,3.368421053,1
8,2.839,10,4.28,1.56,5.5,3.91,0.222222222,2.9,1.8
8,2.676,5,4.35,1.63,6.15,3.36,0.111111111,2.052631579,0.052631579
14,1.431,7,2.04,1.35,6.33,3.2,1.3125,3,0.608695652
12,1.58,9,1.48,1.8,5.16,4,1.869565217,3.333333333,1.777777778
6,2.438,8,1.74,1.86,7.28,4.86,2.5,3.15,1.6
6,2.387,9,1.81,2.04,6.33,5.76,2.842105263,2.45,1.35
4,3.058,9,4.81,1.43,3.71,5.33,0.684210526,3.15,1.7
4,2.444,6,3.16,1.47,3.17,5.58,0.5625,2.857142857,1.952380952
8,1.591,5,2.32,1.74,5.85,3.06,0.3125,1.611111111,2.166666667
6,2.322,9,2.44,1.51,5.6,3.5,0.205882353,2.421052632,1.578947368
10,1.978,6,1.92,1.8,6.68,3.95,2,2.105263158,2.052631579
12,1.491,7,2.39,1.7,6.7,2.85,1.333333333,2.315789474,1.947368421
8,1.887,7,4.44,0.92,3.74,3,0.5,3.555555556,1.388888889
6,2.479,10,4.88,1.5,4.59,5.7,0.333333333,1.9,0.4
6,2.279,7,3.61,1.58,3.43,5.04,2.5625,3.263157895,0.210526316
14,1.839,7,2.18,1.06,5.38,3.86,1.15625,2,0.8125
2,3.101,6,2.74,2.08,5.42,3.53,0.764705882,2.5,1.4
8,1.973,3,3.59,0.64,5.79,5.05,0.625,2.25,0.65
8,1.322,9,3.77,0.91,5.4,3.35,0.3,1.444444444,0.111111111
12,1.491,10,3.64,1.01,5.75,5.7,0.266666667,2.263157895,0.684210526
8,1.973,5,2.5,2.04,5.89,3.28,0.947368421,2.111111111,1.166666667
8,1.643,10,3.76,1.58,1.84,4.86,1.944444444,1.75,0.2
6,2.127,5,2.57,1.67,7.1,5.17,2.894736842,3.263157895,2.526315789
4,2.283,9,2.07,1.48,7,4.82,2.277777778,3,2.105263158
12,2.143,4,3.3,1.02,4,4.29,1.526315789,0.714285714,0.571428571
14,1.771,7,1.61,1.71,5.24,3.95,0.466666667,3.3,2.3
8,2.751,8,2.56,1.81,5.25,3.74,1.529411765,3.941176471,1.764705882
8,2.25,7,4.23,1.6,5,3.24,0.578947368,3.157894737,1
6,2.22,7,2.3,1.5,5.65,4.1,1.473684211,4.65,1.1
12,1.477,9,2.83,1.35,2.76,4.16,0.823529412,2.571428571,0.80952381
14,2.017,7,2.12,1.7,3.68,4.86,1.45,1.9,0.9
6,2.215,7,3.59,1.52,6.29,4.43,1.25,3.65,2.4
2,1.94,8,3.24,1.43,6.37,3.73,0.35,2.210526316,0.842105263
8,1.477,9,1.96,1.39,6.6,3.6,0.8,1.7,0.45
8,1.398,8,2.83,1.66,6.29,3.71,0.294117647,2.45,1
4,2.579,6,4.77,1.55,5.16,3.32,0.526315789,1.571428571,0.333333333
4,3.044,7,2.04,1.7,7.24,3.48,0.705882353,2,0.318181818
12,1.748,8,2.64,1.68,5.62,4.65,0.4,3.277777778,3.055555556
2,3.601,5,3.82,1.64,7.71,4.24,1,2.2,0.5
10,1.477,7,2.22,1.45,6.68,4.27,0.5,2.888888889,0.944444444
2,2.997,5,2.41,1.56,2.5,5.93,4.055555556,3.047619048,2.428571429
6,2.882,5,3.5,1.63,4.55,3.22,0.578947368,2.761904762,0.523809524
2,3.478,5,2.53,1.7,2.53,6.2,4.153846154,3.19047619,2.095238095
13,2.045,7,2.38,1.65,3.14,5.41,3.411764706,3.181818182,1.954545455
2,3.366,6,4.61,1.54,7.06,4.3,0.333333333,3.45,1.3
14,1.799,9,3.41,1.35,6.42,5.52,0,2.05,0.75
13,1.505,9,2.11,1.75,3.4,5.83,2.777777778,2.473684211,1.947368421
2,2.613,5,4.81,1.46,5.4,3.11,1.484848485,0.684210526,0
6,1.643,5,4,1.56,4.41,4,0.25,1.8,0.933333333
10,1.623,12,2.69,1.53,2.58,5.52,1.588235294,2.1,0.9
4,2.973,11,3.15,1.72,6.95,4,0.705882353,2.80952381,2.095238095
4,2.698,8,3.31,1.78,5.52,3.65,0.388888889,1.7,4
2,2.721,12,2.79,1.85,5.81,4.3,0,2.736842105,4.263157895
2,2.76,9,4.52,1.29,5.84,4.5,0.05,3.772727273,3.318181818
6,2.111,5,1.93,1.7,2.49,5.04,3,3.222222222,3
8,1.415,9,2.14,1.6,2.95,4.1,2.764705882,3.055555556,2.111111111
4,2.566,6,1.78,1.94,5.19,3.7,0.9375,1.636363636,0.590909091
14,1.806,7,1.79,1.94,4.84,4.25,0.875,2.6,1.35
10,2.634,9,2.03,1.88,5.75,4.13,1.0625,3,1.631578947
2,3.954,6,2.89,1.95,6.1,4,0.647058824,2.35,3.1
2,2.438,3,4.86,1.59,3.9,3.27,0.133333333,2.263157895,0.263157895
12,1.362,12,2.07,1.64,4.32,4.11,1.6,2.75,1.7
4,1.708,8,5,1.14,5.68,4.46,0.181818182,2.590909091,0.363636364
4,2.09,7,4.75,1.35,5.43,3.15,0.25,1.5625,0.1875
14,1.69,8,3.5,1.05,4.89,3.36,0,2,1.125
6,1.987,6,3.36,1.52,5.95,4.48,0.647058824,3.111111111,3.388888889
6,1.833,12,2.41,1.02,5.3,2.91,0.35,2.705882353,1.117647059
10,1.532,10,4.43,1.08,5.88,4.05,1.166666667,1.8,3.15
10,2.114,10,1.54,2.03,6,5.7,3.944444444,3.1,1.55
10,2.107,12,1.93,1.97,5.26,5.39,3.666666667,3.090909091,1.181818182
8,1.708,6,2.6,1.79,3.95,5.1,1.117647059,2.666666667,2.142857143
10,2.346,8,3.42,1.84,6.55,3.24,3.235294118,2.526315789,3.368421053
10,1.462,10,2.22,1.98,5,4.95,0.846153846,2.444444444,1
6,2.491,7,3.75,1.49,6.5,4,0.043478261,2.857142857,0.714285714
8,1.653,10,3.85,1.21,4.57,3.15,0.882352941,1.75,1.3
12,1.756,4,4.86,1.06,2.9,4.39,0.9375,0.4,0.1
8,1.518,5,4.96,1.42,5.05,4.4,0.066666667,2.6,0.6
8,2.539,7,2.21,1.69,2.38,4.78,4.473684211,2.842105263,1.736842105
4,2.857,7,1.68,1.99,3.8,6.2,4.222222222,3.631578947,1.631578947
2,3.627,9,4.9,1.48,5.72,3.8,0.333333333,3.136363636,1.227272727
10,1.398,6,2.04,1.76,3.68,3.8,2.882352941,2.823529412,2
